# role	lemma
given	ааво
given	аамир
given	аба
given	абабакар
given	абабакир
given	абад
given	абазер
given	абай
given	абакар
given	абакум
given	абас
given	абасали
given	абаси
given	абат
given	аббас
given	аббасали
given	аббос
given	аббяс
given	абгар
given	абдал
given	абдала
given	абдалах
given	абдалла
given	абдаллах
given	абдарахман
given	абдел
given	абделазиз
given	абделали
given	абделилах
given	абделкадер
given	абделкрим
given	абделлатиф
given	абделлах
given	абделрахман
given	абдель
given	абдель-насир
given	абдельазиз
given	абдельбасет
given	абделькабир
given	абделькадер
given	абделькарим
given	абделькрим
given	абдельмажид
given	абдельмалек
given	абдельрахим
given	абдельрахман
given	абдельсалам
given	абдельтиф
given	абдельхади
given	абдельхак
given	абдельхаким
given	абдельхалим
given	абдельхамид
given	абденби
given	абденур
given	абдерразак
given	абдерраззак
given	абдеррахим
given	абдеррахман
given	абдеррезак
given	абдеслам
given	абдессамад
given	абджалил
given	абди
given	абдибек
given	абдивали
given	абдигани
given	абдижалил
given	абдикадир
given	абдикарим
given	абдилазиз
given	абдиламит
given	абдилла
given	абдильдин
given	абдимажит
given	абдималик
given	абдин
given	абдиразак
given	абдираим
given	абдирайим
given	абдирахман
given	абдирашид
given	абдирашит
given	абдисамат
given	абдисаттор
given	абдиш
given	абдо
given	абдраим
given	абдраким
given	абдраман
given	абдрауф
given	абдрахим
given	абдрахман
given	абдрашит
given	абдрефий
given	абдрешит
given	абдряхим
given	абду
given	абдуалим
given	абдубасир
given	абдубасит
given	абдуваит
given	абдувайт
given	абдувакил
given	абдували
given	абдувахаб
given	абдувахид
given	абдувахит
given	абдугамид
given	абдугани
given	абдугапар
given	абдугаппар
given	абдугафар
given	абдугафор
given	абдугаффар
given	абдуджабор
given	абдуджалил
given	абдужабар
given	абдужаббар
given	абдужаббор
given	абдужабор
given	абдужалил
given	абдужалия
given	абдужамил
given	абдужелил
given	абдукадир
given	абдукадыр
given	абдукаим
given	абдукарим
given	абдукахор
given	абдукаюм
given	абдукерим
given	абдукибор
given	абдукодир
given	абдукодыр
given	абдул
given	абдул-азиз
given	абдул-азим
given	абдул-басир
given	абдул-гани
given	абдул-джафар
given	абдул-кадир
given	абдул-кадыр
given	абдул-камал
given	абдул-каюм
given	абдул-мажид
given	абдул-салам
given	абдул-фатах
given	абдул-хак
given	абдул-шейх
given	абдула
given	абдулабек
given	абдуладжан
given	абдулажан
given	абдулажон
given	абдулазиз
given	абдулазис
given	абдулазян
given	абдулаим
given	абдулай
given	абдулали
given	абдулалим
given	абдуламид
given	абдуламит
given	абдулан
given	абдуласир
given	абдулатив
given	абдулатиф
given	абдулах
given	абдулахад
given	абдулахай
given	абдулахан
given	абдулахат
given	абдулбаги
given	абдулбаки
given	абдулбари
given	абдулбарий
given	абдулбасир
given	абдулбасит
given	абдулбаш
given	абдулбашир
given	абдулвагаб
given	абдулвахап
given	абдулвахед
given	абдулвахоб
given	абдулвели
given	абдулгади
given	абдулгадир
given	абдулгазиз
given	абдулгамид
given	абдулгапур
given	абдулгафар
given	абдулгафур
given	абдулгусейн
given	абдулджалил
given	абдулжамил
given	абдулзагир
given	абдулка
given	абдулкадер
given	абдулкадир
given	абдулкадыр
given	абдулкаир
given	абдулкайюм
given	абдулкарам
given	абдулкарим
given	абдулкасим
given	абдулкасир
given	абдулкафар
given	абдулкаюм
given	абдулкерим
given	абдулкирим
given	абдулкодир
given	абдулл
given	абдулла
given	абдуллагаджи
given	абдуллажан
given	абдуллазиз
given	абдуллатиф
given	абдуллах
given	абдулло
given	абдулложан
given	абдулложон
given	абдулль
given	абдулмаджид
given	абдулмажид
given	абдулмажит
given	абдулмалик
given	абдулманаф
given	абдулманон
given	абдулмеджи
given	абдулмеджид
given	абдулмеджит
given	абдулмежит
given	абдулмелик
given	абдулмумин
given	абдулмурод
given	абдулмуслим
given	абдулмуталим
given	абдулмуталин
given	абдулнасир
given	абдулнетиф
given	абдуло
given	абдулпатах
given	абдулрагим
given	абдулразак
given	абдулрахман
given	абдулрашид
given	абдулсалам
given	абдулсалим
given	абдулселим
given	абдулфаз
given	абдулха
given	абдулхадир
given	абдулхадыр
given	абдулхаер
given	абдулхаир
given	абдулхай
given	абдулхайл
given	абдулхак
given	абдулхаким
given	абдулхалик
given	абдулхалим
given	абдулхамед
given	абдулхамид
given	абдулхамит
given	абдулхан
given	абдулхат
given	абдулхах
given	абдуль
given	абдульбер
given	абдульвахид
given	абдульрахман
given	абдульфаз
given	абдульхади
given	абдуляр
given	абдумаджит
given	абдумажид
given	абдумажит
given	абдумалик
given	абдуманноб
given	абдуманон
given	абдумутал
given	абдумуталип
given	абдунаби
given	абдуназар
given	абдунасир
given	абдуносир
given	абдуолим
given	абдур
given	абдурагим
given	абдуразак
given	абдураззак
given	абдуразок
given	абдураим
given	абдуракиб
given	абдураман
given	абдурасул
given	абдурауф
given	абдурафи
given	абдурахиб
given	абдурахим
given	абдурахин
given	абдурахман
given	абдурахмон
given	абдурашид
given	абдурашит
given	абдурефи
given	абдурешит
given	абдурман
given	абдурохмон
given	абдуррауф
given	абдусала
given	абдусалам
given	абдусалом
given	абдусаль
given	абдусамат
given	абдусами
given	абдусатар
given	абдусаттар
given	абдусаттор
given	абдуселим
given	абдуссатар
given	абдуссатор
given	абдухабиб
given	абдухаким
given	абдухалик
given	абдухалил
given	абдухалим
given	абдухалык
given	абдухамид
given	абдуханон
given	абдухолик
given	абды
given	абдыкаюм
