# scheme	alias	canonical_han	population_share
han	丁	丁	0
han	万	万	0
han	万俟	万俟	0
han	上官	上官	0
han	丛	丛	0
han	东方	东方	0
han	东郭	东郭	0
han	东野	东野	0
han	东门	东门	0
han	严	严	0
han	丰	丰	0
han	主父	主父	0
han	乌	乌	0
han	乐	乐	0
han	乔	乔	0
han	于	于	0
han	亓	亓	0
han	井	井	0
han	亢	亢	0
han	仇	仇	0
han	仝	仝	0
han	令狐	令狐	0
han	仲	仲	0
han	仲孙	仲孙	0
han	任	任	0
han	伊	伊	0
han	伍	伍	0
han	伏	伏	0
han	但	但	0
han	位	位	0
han	何	何	0
han	佘	佘	0
han	余	余	0
han	佟	佟	0
han	侯	侯	0
han	俞	俞	0
han	信	信	0
han	修	修	0
han	倪	倪	0
han	傅	傅	0
han	储	储	0
han	元	元	0
han	党	党	0
han	全	全	0
han	公	公	0
han	公冶	公冶	0
han	公孙	公孙	0
han	公户	公户	0
han	公羊	公羊	0
han	公良	公良	0
han	公西	公西	0
han	兰	兰	0
han	关	关	0
han	冀	冀	0
han	冉	冉	0
han	农	农	0
han	冯	冯	0
han	况	况	0
han	冶	冶	0
han	冷	冷	0
han	冼	冼	0
han	凌	凌	0
han	刁	刁	0
han	刘	刘	0
han	初	初	0
han	利	利	0
han	劳	劳	0
han	勾	勾	0
han	包	包	0
han	匡	匡	0
han	区	区	0
han	华	华	0
han	卓	卓	0
han	单	单	0
han	单于	单于	0
han	南	南	0
han	南宫	南宫	0
han	卜	卜	0
han	卞	卞	0
han	卢	卢	0
han	卫	卫	0
han	印	印	0
han	危	危	0
han	卿	卿	0
han	厉	厉	0
han	原	原	0
han	古	古	0
han	史	史	0
han	叶	叶	0
han	司	司	0
han	司寡	司寡	0
han	司徒	司徒	0
han	司空	司空	0
han	司马	司马	0
han	吉	吉	0
han	向	向	0
han	吕	吕	0
han	吴	吴	0
han	周	周	0
han	呼	呼	0
han	呼延	呼延	0
han	和	和	0
han	哈	哈	0
han	唐	唐	0
han	商	商	0
han	喻	喻	0
han	国	国	0
han	墨哈	墨哈	0
han	夏	夏	0
han	夏侯	夏侯	0
han	太叔	太叔	0
han	奉	奉	0
han	奚	奚	0
han	姚	姚	0
han	姜	姜	0
han	姬	姬	0
han	娄	娄	0
han	孔	孔	0
han	孙	孙	0
han	孟	孟	0
han	季	季	0
han	宁	宁	0
han	宇文	宇文	0
han	安	安	0
han	宋	宋	0
han	宗	宗	0
han	宗政	宗政	0
han	官	官	0
han	宣	宣	0
han	宫	宫	0
han	宰父	宰父	0
han	容	容	0
han	宾	宾	0
han	宿	宿	0
han	寇	寇	0
han	富	富	0
han	封	封	0
han	尉	尉	0
han	尉迟	尉迟	0
han	尚	尚	0
han	尤	尤	0
han	尧	尧	0
han	尹	尹	0
han	居	居	0
han	屈	屈	0
han	展	展	0
han	屠	屠	0
han	岑	岑	0
han	岳	岳	0
han	崔	崔	0
han	嵇	嵇	0
han	左	左	0
han	左丘	左丘	0
han	巩	巩	0
han	巫	巫	0
han	巫马	巫马	0
han	巴	巴	0
han	帅	帅	0
han	师	师	0
han	席	席	0
han	常	常	0
han	干	干	0
han	平	平	0
han	幸	幸	0
han	庄	庄	0
han	应	应	0
han	庞	庞	0
han	康	康	0
han	廉	廉	0
han	廖	廖	0
han	张	张	0
han	强	强	0
han	彭	彭	0
han	徐	徐	0
han	微生	微生	0
han	惠	惠	0
han	慕	慕	0
han	慕容	慕容	0
han	戈	戈	0
han	戎	戎	0
han	成	成	0
han	战	战	0
han	戚	戚	0
han	戴	戴	0
han	房	房	0
han	扈	扈	0
han	揭	揭	0
han	支	支	0
han	敖	敖	0
han	敬	敬	0
han	文	文	0
han	斯	斯	0
han	方	方	0
han	於	於	0
han	施	施	0
han	时	时	0
han	明	明	0
han	易	易	0
han	昝	昝	0
han	晁	晁	0
han	晋	晋	0
han	晏	晏	0
han	普	普	0
han	景	景	0
han	智	智	0
han	曲	曲	0
han	曹	曹	0
han	曾	曾	0
han	朱	朱	0
han	朴	朴	0
han	权	权	0
han	李	李	0
han	杜	杜	0
han	束	束	0
han	来	来	0
han	杨	杨	0
han	杭	杭	0
han	林	林	0
han	柏	柏	0
han	查	查	0
han	柯	柯	0
han	柳	柳	0
han	柴	柴	0
han	栗	栗	0
han	栾	栾	0
han	桂	桂	0
han	桑	桑	0
han	梁	梁	0
han	梁丘	梁丘	0
han	梅	梅	0
han	植	植	0
han	楚	楚	0
han	楼	楼	0
han	樊	樊	0
han	檀	檀	0
han	欧	欧	0
han	欧阳	欧阳	0
han	武	武	0
han	段	段	0
han	段干	段干	0
han	殷	殷	0
han	毌丘	毌丘	0
han	母	母	0
han	毕	毕	0
han	毛	毛	0
han	江	江	0
han	池	池	0
han	汤	汤	0
han	汪	汪	0
han	沈	沈	0
han	沙	沙	0
han	洪	洪	0
han	浦	浦	0
han	海	海	0
han	涂	涂	0
han	淳于	淳于	0
han	温	温	0
han	游	游	0
han	湛	湛	0
han	滕	滕	0
han	满	满	0
han	漆	漆	0
han	漆雕	漆雕	0
han	潘	潘	0
han	澹台	澹台	0
han	濮阳	濮阳	0
han	焦	焦	0
han	熊	熊	0
han	燕	燕	0
han	爱新觉罗	爱新觉罗	0
han	牛	牛	0
han	牟	牟	0
han	狄	狄	0
han	独孤	独孤	0
han	玉	玉	0
han	王	王	0
han	班	班	0
han	甄	甄	0
han	甘	甘	0
han	田	田	0
han	由	由	0
han	申	申	0
han	申屠	申屠	0
han	白	白	0
han	百里	百里	0
han	皇甫	皇甫	0
han	皮	皮	0
han	盖	盖	0
han	盘	盘	0
han	盛	盛	0
han	相	相	0
han	瞿	瞿	0
han	石	石	0
han	祁	祁	0
han	祖	祖	0
han	祝	祝	0
han	禹	禹	0
han	秦	秦	0
han	程	程	0
han	穆	穆	0
han	窦	窦	0
han	章	章	0
han	童	童	0
han	端木	端木	0
han	符	符	0
han	第二	第二	0
han	第五	第五	0
han	第八	第八	0
han	简	简	0
han	管	管	0
han	米	米	0
han	粟	粟	0
han	索	索	0
han	纪	纪	0
han	练	练	0
han	缪	缪	0
han	罗	罗	0
han	羊	羊	0
han	羊舌	羊舌	0
han	羊角	羊角	0
han	翁	翁	0
han	翟	翟	0
han	耿	耿	0
han	聂	聂	0
han	胡	胡	0
han	胥	胥	0
han	臧	臧	0
han	舒	舒	0
han	艾	艾	0
han	芦	芦	0
han	芮	芮	0
han	花	花	0
han	苏	苏	0
han	苑	苑	0
han	苗	苗	0
han	苟	苟	0
han	范	范	0
han	茅	茅	0
han	茹	茹	0
han	荆	荆	0
han	荣	荣	0
han	莫	莫	0
han	萧	萧	0
han	葛	葛	0
han	董	董	0
han	蒋	蒋	0
han	蒙	蒙	0
han	蒲	蒲	0
han	蓝	蓝	0
han	蔡	蔡	0
han	蔺	蔺	0
han	薄	薄	0
han	薛	薛	0
han	虞	虞	0
han	衡	衡	0
han	衣	衣	0
han	袁	袁	0
han	裘	裘	0
han	裴	裴	0
han	褚	褚	0
han	西门	西门	0
han	覃	覃	0
han	解	解	0
han	詹	詹	0
han	计	计	0
han	许	许	0
han	诸	诸	0
han	诸葛	诸葛	0
han	谈	谈	0
han	谌	谌	0
han	谢	谢	0
han	谭	谭	0
han	谷	谷	0
han	谷利	谷利	0
han	谷梁	谷梁	0
han	豆	豆	0
han	费	费	0
han	贺	贺	0
han	贾	贾	0
han	赖	赖	0
han	赫	赫	0
han	赫连	赫连	0
han	赵	赵	0
han	路	路	0
han	车	车	0
han	轩辕	轩辕	0
han	辛	辛	0
han	辜	辜	0
han	边	边	0
han	连	连	0
han	迟	迟	0
han	逯	逯	0
han	邓	邓	0
han	邝	邝	0
han	邢	邢	0
han	那	那	0
han	邬	邬	0
han	邰	邰	0
han	邱	邱	0
han	邵	邵	0
han	邸	邸	0
han	邹	邹	0
han	郁	郁	0
han	郎	郎	0
han	郑	郑	0
han	郜	郜	0
han	郝	郝	0
han	郭	郭	0
han	都	都	0
han	鄢	鄢	0
han	金	金	0
han	钟	钟	0
han	钦明	钦明	0
han	钱	钱	0
han	银	银	0
han	长孙	长孙	0
han	门	门	0
han	闭	闭	0
han	闵	闵	0
han	闻	闻	0
han	闻人	闻人	0
han	闾丘	闾丘	0
han	阎	阎	0
han	阙	阙	0
han	阚	阚	0
han	阮	阮	0
han	阳	阳	0
han	阴	阴	0
han	阿	阿	0
han	陆	陆	0
han	陈	陈	0
han	陶	陶	0
han	隆	隆	0
han	隋	隋	0
han	雍	雍	0
han	雲	雲	0
han	雷	雷	0
han	霍	霍	0
han	靳	靳	0
han	鞠	鞠	0
han	韦	韦	0
han	韩	韩	0
han	项	项	0
han	顾	顾	0
han	颜	颜	0
han	饶	饶	0
han	马	马	0
han	骆	骆	0
han	高	高	0
han	魏	魏	0
han	鲁	鲁	0
han	鲍	鲍	0
han	鲜	鲜	0
han	鲜于	鲜于	0
han	鹿	鹿	0
han	麦	麦	0
han	麻	麻	0
han	黄	黄	0
han	黎	黎	0
han	齐	齐	0
han	龙	龙	0
han	龚	龚	0
palladius	а	阿	0
palladius	ай	艾	0
palladius	ай синь цзюэ ло	爱新觉罗	0
palladius	айсиньцзюэло	爱新觉罗	0
palladius	ань	安	0
palladius	ао	敖	0
palladius	ба	巴	0
palladius	бай	柏,白	0
palladius	бай ли	百里	0
palladius	байли	百里	0
palladius	бань	班	0
palladius	бао	包,薄,鲍	0
palladius	би	毕,闭	0
palladius	бинь	宾	0
palladius	бо	卜	0
palladius	бянь	卞,边	0
palladius	ван	汪,王	0
palladius	вань	万	0
palladius	вэй	位,卫,危,尉,韦,魏	0
palladius	вэй шэн	微生	0
palladius	вэйшэн	微生	0
palladius	вэн	翁	0
palladius	вэнь	文,温,闻	0
palladius	вэнь жэнь	闻人	0
palladius	вэньжэнь	闻人	0
palladius	гай	盖	0
palladius	гань	干,甘	0
palladius	гао	郜,高	0
palladius	го	国,郭	0
palladius	гоу	勾,苟	0
palladius	гу	古,谷,辜,顾	0
palladius	гу ли	谷利	0
palladius	гу лян	谷梁	0
palladius	гуань	关,官,管	0
palladius	гуань цю	毌丘	0
palladius	гуаньцю	毌丘	0
palladius	гуй	桂	0
palladius	гули	谷利	0
palladius	гулян	谷梁	0
palladius	гун	公,宫,巩,龚	0
palladius	гун е	公冶	0
palladius	гун лян	公良	0
palladius	гун си	公西	0
palladius	гун сунь	公孙	0
palladius	гун ху	公户	0
palladius	гун ян	公羊	0
palladius	гуне	公冶	0
palladius	гунлян	公良	0
palladius	гунси	公西	0
palladius	гунсунь	公孙	0
palladius	гунху	公户	0
palladius	гунян	公羊	0
palladius	гэ	戈,葛	0
palladius	гэн	耿	0
palladius	дай	戴	0
palladius	дан	党	0
palladius	дань	但,单	0
palladius	ди	狄,翟,邸	0
palladius	ди ба	第八	0
palladius	ди у	第五	0
palladius	ди эр	第二	0
palladius	диба	第八	0
palladius	дин	丁	0
palladius	диу	第五	0
palladius	диэр	第二	0
palladius	доу	窦,豆,都	0
palladius	ду	杜	0
palladius	ду гу	独孤	0
palladius	дуань	段	0
palladius	дуань гань	段干	0
palladius	дуань му	端木	0
palladius	дуаньгань	段干	0
palladius	дуаньму	端木	0
palladius	дугу	独孤	0
palladius	дун	董	0
palladius	дун го	东郭	0
palladius	дун е	东野	0
palladius	дун мэнь	东门	0
palladius	дун фан	东方	0
palladius	дунго	东郭	0
palladius	дуне	东野	0
palladius	дунмэнь	东门	0
palladius	дунфан	东方	0
palladius	дэн	邓	0
palladius	дяо	刁	0
palladius	е	冶,叶	0
palladius	жань	冉	0
palladius	жао	饶	0
palladius	жу	茹	0
palladius	жуань	阮	0
palladius	жуй	芮	0
palladius	жун	容,戎,荣	0
palladius	жэнь	任	0
palladius	и	伊,易,衣	0
palladius	ин	应	0
palladius	инь	印,尹,殷,银,阴	0
palladius	кан	亢,康	0
palladius	коу	寇	0
palladius	куан	况,匡,邝	0
palladius	кун	孔	0
palladius	кэ	柯	0
palladius	лай	来,赖	0
palladius	лан	郎	0
palladius	лань	兰,蓝	0
palladius	лао	劳	0
palladius	ли	利,厉,李,栗,黎	0
palladius	лин	凌	0
palladius	лин ху	令狐	0
palladius	линху	令狐	0
palladius	линь	林,蔺	0
palladius	ло	罗,骆	0
palladius	лоу	娄,楼	0
palladius	лу	卢,芦,路,逯,陆,鲁,鹿	0
palladius	луань	栾	0
palladius	лун	隆,龙	0
palladius	лэ	乐	0
palladius	лэй	雷	0
palladius	лэн	冷	0
palladius	лю	刘,柳	0
palladius	люй	吕	0
palladius	люй цю	闾丘	0
palladius	люйцю	闾丘	0
palladius	лян	梁	0
palladius	лян цю	梁丘	0
palladius	лянцю	梁丘	0
palladius	лянь	廉,练,连	0
palladius	ляо	廖	0
palladius	ма	马,麻	0
palladius	май	麦	0
palladius	мань	满	0
palladius	мао	毛,茅	0
palladius	ми	米	0
palladius	мин	明	0
palladius	минь	闵	0
palladius	мо	莫	0
palladius	мо ха	墨哈	0
palladius	мо ци	万俟	0
palladius	моу	牟,缪	0
palladius	моха	墨哈	0
palladius	моци	万俟	0
palladius	му	慕,母,穆	0
palladius	му жун	慕容	0
palladius	мужун	慕容	0
palladius	мэй	梅	0
palladius	мэн	孟,蒙	0
palladius	мэнь	门	0
palladius	мяо	苗	0
palladius	на	那	0
palladius	нань	南	0
palladius	нань гун	南宫	0
palladius	наньгун	南宫	0
palladius	не	聂	0
palladius	ни	倪	0
palladius	нин	宁	0
palladius	нун	农	0
palladius	ню	牛	0
palladius	оу	欧	0
palladius	оу ян	欧阳	0
palladius	оуян	欧阳	0
palladius	пан	庞	0
palladius	пань	潘,盘	0
palladius	пи	皮	0
palladius	пин	平	0
palladius	пу	普,朴,浦,蒲	0
palladius	пу ян	濮阳	0
palladius	пуян	濮阳	0
palladius	пэй	裴	0
palladius	пэн	彭	0
palladius	сан	桑	0
palladius	се	谢	0
palladius	си	奚,席	0
palladius	си мэнь	西门	0
palladius	симэнь	西门	0
palladius	син	幸,邢	0
palladius	синь	信,辛	0
palladius	со	索	0
palladius	су	宿,粟,苏	0
palladius	суй	隋	0
palladius	сун	宋	0
palladius	сунь	孙	0
palladius	сы	司,斯	0
palladius	сы гуа	司寡	0
palladius	сы кун	司空	0
palladius	сы ма	司马	0
palladius	сы ту	司徒	0
palladius	сыгуа	司寡	0
palladius	сыкун	司空	0
palladius	сыма	司马	0
palladius	сыту	司徒	0
palladius	сю	修	0
palladius	сюань	宣	0
palladius	сюань юань	轩辕	0
palladius	сюаньюань	轩辕	0
palladius	сюй	徐,胥,许	0
palladius	сюн	熊	0
palladius	сюэ	薛	0
palladius	ся	夏	0
palladius	ся хоу	夏侯	0
palladius	сян	向,相,项	0
palladius	сянь	冼,鲜	0
palladius	сянь юй	鲜于	0
palladius	сяньюй	鲜于	0
palladius	сяо	萧	0
palladius	сяхоу	夏侯	0
palladius	тай	邰	0
palladius	тай шу	太叔	0
palladius	тайшу	太叔	0
palladius	тан	唐,汤	0
palladius	тань	檀,覃,谈,谭	0
palladius	тань тай	澹台	0
palladius	таньтай	澹台	0
palladius	тао	陶	0
palladius	ту	屠,涂	0
palladius	тун	仝,佟,童	0
palladius	тэн	滕	0
palladius	тянь	田	0
palladius	у	乌,伍,吴,巫,武,邬	0
palladius	у ма	巫马	0
palladius	ума	巫马	0
palladius	фан	房,方	0
palladius	фань	樊,范	0
palladius	фу	伏,傅,富,符	0
